categoria,porcentagem
Object-Oriented Programming,0.9280742459396751
,0.23201856148491878
Python,1.3921113689095126
Business,2.784222737819025
Object-Technology Programming,0.23201856148491878
Theory,1.6241299303944314
PowerBuilder,1.6241299303944314
Microsoft,1.8561484918793503
Networking,1.6241299303944314
SOA,0.23201856148491878
Mobile Technology,1.3921113689095126
In Action,0.23201856148491878
.NET,0.23201856148491878
PHP,0.23201856148491878
Computer Graphics,1.3921113689095126
Client-Server,2.5522041763341066
XML,0.6960556844547563
Mobile,0.23201856148491878
Web Development,3.944315545243619
Microsoft/.NET,0.23201856148491878
Next Generation Databases,0.23201856148491878
Software Engineering,3.7122969837587005
Programming,2.784222737819025
Miscellaneous,0.46403712296983757
internet,0.23201856148491878
java,0.23201856148491878
Perl,1.3921113689095126
Java,22.2737819025522
S,0.23201856148491878
Algorithmic Art,0.23201856148491878
Open Source,0.46403712296983757
P,0.23201856148491878
Software Development,0.23201856148491878
Internet,9.280742459396752
Microsoft .NET,7.888631090487238
